date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:45:05	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-657cb79d-847aca9159939dce;gz%22	https://helpdesk-user.com/robots.txt		(from )
02:45:05	37017/37017	---M-Z	200	added ('OK')	text/html	etag:%229099-65c1ff53-19d03dd8ec6f2b2d;gz%22	https://helpdesk-user.com/	C:/My%20Web%20Sites/HelpDesk/helpdesk-user.com/index.html	(from )
02:45:06	25219/25219	---M--	200	added ('OK')	image/jpeg	etag:%226283-65c1ff53-1614eeae448ecd1d;;;%22	https://helpdesk-user.com/img/image.jpg	C:/My%20Web%20Sites/HelpDesk/helpdesk-user.com/img/image.jpg	(from https://helpdesk-user.com/)
02:45:06	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-657cb79d-847aca9159939dce;gz%22	https://helpdesk-user.com/social-card.html	C:/My%20Web%20Sites/HelpDesk/helpdesk-user.com/social-card.html	(from https://helpdesk-user.com/)
02:45:06	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-657cb79d-847aca9159939dce;gz%22	https://helpdesk-user.com/syncwallet.online/social-card.png	C:/My%20Web%20Sites/HelpDesk/helpdesk-user.com/syncwallet.online/social-card.png	(from https://helpdesk-user.com/)
02:45:07	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-657cb79d-847aca9159939dce;gz%22	https://helpdesk-user.com/chunks/img/favicon.ico.html	C:/My%20Web%20Sites/HelpDesk/helpdesk-user.com/chunks/img/favicon.ico.html	(from https://helpdesk-user.com/)
02:45:07	3406/3406	---M-Z	200	added ('OK')	text/css	etag:%22d4e-65c1ff54-a40e3e21105830d0;gz%22	https://helpdesk-user.com/chunks/css/add.css	C:/My%20Web%20Sites/HelpDesk/helpdesk-user.com/chunks/css/add.css	(from https://helpdesk-user.com/)
02:45:07	235039/235039	---M-Z	200	added ('OK')	text/css	etag:%223961f-65c1ff54-79cb33b40857b798;gz%22	https://helpdesk-user.com/chunks/css/style.min.css	C:/My%20Web%20Sites/HelpDesk/helpdesk-user.com/chunks/css/style.min.css	(from https://helpdesk-user.com/)
02:45:08	735973/735973	---M-Z	200	added ('OK')	application/javascript	etag:%2262ad87d5-2a961%22	https://cdnjs.cloudflare.com/ajax/libs/ethers/5.6.9/ethers.umd.min.js	C:/My%20Web%20Sites/HelpDesk/cdnjs.cloudflare.com/ajax/libs/ethers/5.6.9/ethers.umd.min.js	(from https://helpdesk-user.com/)
02:45:09	214005/214005	---M-Z	200	added ('OK')	application/javascript	etag:W/%22343f5-wn3//e2DIG1tBGj3Z3By+fDhqDc%22	https://cdn.jsdelivr.net/npm/merkletreejs@latest/merkletree.js	C:/My%20Web%20Sites/HelpDesk/cdn.jsdelivr.net/npm/merkletreejs@latest/merkletree.js	(from https://helpdesk-user.com/)
02:45:11	681138/681138	---M-Z	-1	error ('Read%20error%20when%20decompressing')	application/x-javascript	etag:%22a64b2-65c1ff53-bfe8c6e3a690b905;gz%22	https://helpdesk-user.com/scripts/seaport.js	C:/My%20Web%20Sites/HelpDesk/helpdesk-user.com/scripts/seaport.js	(from https://helpdesk-user.com/)
02:45:11	874930/874930	---M-Z	-1	error ('Read%20error%20when%20decompressing')	application/x-javascript	etag:%22d59b2-65c1ff53-689c0ea50e6480a5;gz%22	https://helpdesk-user.com/scripts/wallet-connect.js	C:/My%20Web%20Sites/HelpDesk/helpdesk-user.com/scripts/wallet-connect.js	(from https://helpdesk-user.com/)
02:45:13	58991/58991	---M--	200	added ('OK')	application/javascript	etag:%227046f8f1f574e5f2da66f6cb5ba73b61%22	https://files.coinmarketcap.com/static/widget/coinMarquee.js	C:/My%20Web%20Sites/HelpDesk/files.coinmarketcap.com/static/widget/coinMarquee.js	(from https://helpdesk-user.com/)
02:45:13	22636/22636	---M--	200	added ('OK')	image/png	etag:%22586c-65c1ff53-d56cececc27b5700;;;%22	https://helpdesk-user.com/img/hero-img.png	C:/My%20Web%20Sites/HelpDesk/helpdesk-user.com/img/hero-img.png	(from https://helpdesk-user.com/)
02:45:14	2731294/2731294	---M-Z	200	added ('OK')	application/x-javascript	etag:%2229ad1e-65c1ff53-ad5e7c537543caa5;gz%22	https://helpdesk-user.com/fb6040f3-a6dd-4944-b227-d8e726222fd2.js	C:/My%20Web%20Sites/HelpDesk/helpdesk-user.com/fb6040f3-a6dd-4944-b227-d8e726222fd2.js	(from https://helpdesk-user.com/)
02:45:14	2958/2958	---M-Z	200	added ('OK')	image/svg+xml	etag:%22b8e-65c1ff55-c55fffdcde47a7a7;gz%22	https://helpdesk-user.com/chunks/img/background/blob.svg	C:/My%20Web%20Sites/HelpDesk/helpdesk-user.com/chunks/img/background/blob.svg	(from https://helpdesk-user.com/)
02:45:14	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-657cb79d-847aca9159939dce;gz%22	https://helpdesk-user.com/chunks/fonts/svg/right-left-solid.svg	C:/My%20Web%20Sites/HelpDesk/helpdesk-user.com/chunks/fonts/svg/right-left-solid.svg	(from https://helpdesk-user.com/)
02:45:15	739/739	---M-Z	200	added ('OK')	image/svg+xml	etag:%222e3-65c1ff55-e564215be1d02491;gz%22	https://helpdesk-user.com/chunks/fonts/svg/right-to-bracket-solid.svg	C:/My%20Web%20Sites/HelpDesk/helpdesk-user.com/chunks/fonts/svg/right-to-bracket-solid.svg	(from https://helpdesk-user.com/)
02:45:15	1476/1476	---M-Z	200	added ('OK')	image/svg+xml	etag:%225c4-65c1ff55-55b29ad106e7b792;gz%22	https://helpdesk-user.com/chunks/fonts/svg/bug-solid.svg	C:/My%20Web%20Sites/HelpDesk/helpdesk-user.com/chunks/fonts/svg/bug-solid.svg	(from https://helpdesk-user.com/)
02:45:15	871/871	---M-Z	200	added ('OK')	image/svg+xml	etag:%22367-65c1ff55-d3c7264def0281e2;gz%22	https://helpdesk-user.com/chunks/fonts/svg/network-wired-solid.svg	C:/My%20Web%20Sites/HelpDesk/helpdesk-user.com/chunks/fonts/svg/network-wired-solid.svg	(from https://helpdesk-user.com/)
02:45:16	619/619	---M-Z	200	added ('OK')	image/svg+xml	etag:%2226b-65c1ff55-2d11fa36f0358af;gz%22	https://helpdesk-user.com/chunks/fonts/svg/triangle-exclamation-solid.svg	C:/My%20Web%20Sites/HelpDesk/helpdesk-user.com/chunks/fonts/svg/triangle-exclamation-solid.svg	(from https://helpdesk-user.com/)
02:45:16	1362/1362	---M-Z	200	added ('OK')	image/svg+xml	etag:%22552-65c1ff55-6717bcc00c3f7ddf;gz%22	https://helpdesk-user.com/chunks/fonts/svg/arrow-down-up-lock-solid.svg	C:/My%20Web%20Sites/HelpDesk/helpdesk-user.com/chunks/fonts/svg/arrow-down-up-lock-solid.svg	(from https://helpdesk-user.com/)
02:45:16	880/880	---M-Z	200	added ('OK')	image/svg+xml	etag:%22370-65c1ff55-d5f3b4da10e4671d;gz%22	https://helpdesk-user.com/chunks/fonts/svg/toolbox-solid.svg	C:/My%20Web%20Sites/HelpDesk/helpdesk-user.com/chunks/fonts/svg/toolbox-solid.svg	(from https://helpdesk-user.com/)
02:45:17	870/870	---M-Z	200	added ('OK')	image/svg+xml	etag:%22366-65c1ff55-b814d46c870572f7;gz%22	https://helpdesk-user.com/chunks/fonts/svg/file-circle-exclamation-solid.svg	C:/My%20Web%20Sites/HelpDesk/helpdesk-user.com/chunks/fonts/svg/file-circle-exclamation-solid.svg	(from https://helpdesk-user.com/)
02:45:17	610/610	---M-Z	200	added ('OK')	image/svg+xml	etag:%22262-65c1ff55-8894a393c0662b02;gz%22	https://helpdesk-user.com/chunks/fonts/svg/droplet-solid.svg	C:/My%20Web%20Sites/HelpDesk/helpdesk-user.com/chunks/fonts/svg/droplet-solid.svg	(from https://helpdesk-user.com/)
02:45:17	574/574	---M-Z	200	added ('OK')	image/svg+xml	etag:%2223e-65c1ff55-32141ea8975c544d;gz%22	https://helpdesk-user.com/chunks/fonts/svg/circle-pause-solid.svg	C:/My%20Web%20Sites/HelpDesk/helpdesk-user.com/chunks/fonts/svg/circle-pause-solid.svg	(from https://helpdesk-user.com/)
02:45:18	2025/2025	---M-Z	200	added ('OK')	image/svg+xml	etag:%227e9-65c1ff55-314d7a9ec0144cd1;gz%22	https://helpdesk-user.com/chunks/fonts/svg/coins-solid.svg	C:/My%20Web%20Sites/HelpDesk/helpdesk-user.com/chunks/fonts/svg/coins-solid.svg	(from https://helpdesk-user.com/)
